adm1_name,adm1_pcode,mean,year
Nairobi,KE047,879.9134515384412,2015
Nandi,KE029,1613.2478505153324,2015
Narok,KE033,1100.2484744609285,2015
Nyamira,KE046,1868.501113518353,2015
Nyandarua,KE018,1075.3953997316924,2015
Nyeri,KE019,1318.9191709371676,2015
Samburu,KE025,548.2998323394818,2015
Siaya,KE041,1707.9964529771294,2015
Taita Taveta,KE006,728.0344730828612,2015
Tana River,KE004,567.731073535783,2015
Tharaka-Nithi,KE013,1347.4495634232255,2015
Trans Nzoia,KE026,1291.0895973931022,2015
Turkana,KE023,337.6680362272493,2015
Uasin Gishu,KE027,1122.2146776255447,2015
Vihiga,KE038,2110.6362910398425,2015
Wajir,KE008,370.0207008423152,2015
West Pokot,KE024,756.3653061600363,2015
Nakuru,KE032,959.4578138064871,2015
Baringo,KE030,1495.291132350734,2020
Bomet,KE036,2235.1250186676216,2020
Bungoma,KE039,2479.2743787856757,2020
Busia,KE040,2538.398849095746,2020
Elgeyo-Marakwet,KE028,2156.01384403995,2020
Embu,KE014,1305.016939277531,2020
Garissa,KE007,572.8619078981869,2020
Homa Bay,KE043,2107.1435268812957,2020
Isiolo,KE011,438.9875464125002,2020
Kajiado,KE034,826.4620779518684,2020
Kakamega,KE037,2818.399877419985,2020
Kericho,KE035,2329.0734915724,2020
Kiambu,KE022,1434.4364712633587,2020
Kilifi,KE003,1178.756750712116,2020
Kirinyaga,KE020,1693.7442681300456,2020
Kisii,KE045,2580.6749937826175,2020
Kisumu,KE042,2363.283630386915,2020
Kitui,KE015,776.5837000611626,2020
Kwale,KE002,1469.6794632917195,2020
Laikipia,KE031,1082.2486413566187,2020
Lamu,KE005,907.9015146739544,2020
Machakos,KE016,985.7879454202589,2020
Makueni,KE017,909.7272604555479,2020
Mandera,KE009,378.97645073061204,2020
Marsabit,KE010,415.93972381745556,2020
Meru,KE012,1422.3672555011792,2020
Migori,KE044,1965.8098684043389,2020
Mombasa,KE001,1872.5374927426149,2020
Murang'a,KE021,1770.131872351149,2020
Nairobi,KE047,1067.9219505192057,2020
Nandi,KE029,2574.482127999898,2020
Narok,KE033,1455.5049710889916,2020
Nyamira,KE046,2509.3312667857726,2020
Nyandarua,KE018,1603.0068580674993,2020
Nyeri,KE019,1741.1149460403112,2020
Samburu,KE025,732.8759970751693,2020
Siaya,KE041,2178.926545300247,2020
Taita Taveta,KE006,884.4087428230184,2020
Tana River,KE004,528.7875785567937,2020
Tharaka-Nithi,KE013,1425.7163972597325,2020
Trans Nzoia,KE026,2131.0186974860558,2020
Turkana,KE023,506.98341438723537,2020
Uasin Gishu,KE027,2029.3199512017457,2020
Vihiga,KE038,2976.978427114826,2020
Wajir,KE008,445.78603979771316,2020
West Pokot,KE024,1417.9940548375196,2020
Nakuru,KE032,1517.1974342544797,2020
Baringo,KE030,874.6412396542435,2023
Bomet,KE036,1781.9757287614102,2023
Bungoma,KE039,1724.6785744656286,2023
Busia,KE040,1928.3190322493515,2023
Elgeyo-Marakwet,KE028,1295.4004411733217,2023
Embu,KE014,1302.1690931729909,2023
Garissa,KE007,787.8252709259607,2023
Homa Bay,KE043,1696.582611954977,2023
Isiolo,KE011,640.9148017440764,2023
Kajiado,KE034,610.5722400953686,2023
Kakamega,KE037,2110.225618780225,2023
Kericho,KE035,1754.1017504978286,2023
Kiambu,KE022,1011.5882887710244,2023
Kilifi,KE003,1504.3091160190324,2023
Kirinyaga,KE020,1423.5651967732783,2023
Kisii,KE045,2258.6314375834036,2023
Kisumu,KE042,1832.667523056407,2023
Kitui,KE015,971.4114346002779,2023
Kwale,KE002,1579.4940554514017,2023
Laikipia,KE031,809.1678341643765,2023
Lamu,KE005,1185.5955855184197,2023
Machakos,KE016,865.3044558227966,2023
Makueni,KE017,836.1860991626672,2023
Mandera,KE009,823.7108642641622,2023
Marsabit,KE010,591.5808980952838,2023
Meru,KE012,1606.9957161877348,2023
Migori,KE044,1616.4760282012774,2023
Mombasa,KE001,1924.1541579186437,2023
Murang'a,KE021,1358.9591882780842,2023
Nairobi,KE047,742.7473131559283,2023
Nandi,KE029,1927.3172154086787,2023
Narok,KE033,1119.028941570601,2023
Nyamira,KE046,2127.941945950824,2023
Nyandarua,KE018,1054.3101631186514,2023
Nyeri,KE019,1305.421208087055,2023
Samburu,KE025,728.0188659841438,2023
Siaya,KE041,1772.423191437507,2023
Taita Taveta,KE006,887.8647543787916,2023
Tana River,KE004,797.484956594355,2023
Tharaka-Nithi,KE013,1611.6594472527884,2023
Trans Nzoia,KE026,1345.798113389812,2023
Turkana,KE023,356.4614123899364,2023
Uasin Gishu,KE027,1277.8931139413244,2023
Vihiga,KE038,2382.037890742978,2023
Wajir,KE008,800.2027393299646,2023
West Pokot,KE024,789.1393974361229,2023
Nakuru,KE032,1043.366800049158,2023
